node_id,timestamp,packet_count,battery_level,error_rate,signal_strength,transmission_delay,status,anomaly_score,is_anomaly,explanation
Node_1,2026-05-21 08:10:13,45,77.9,0.045,-60.9,14.3,normal,-0.1719,False,
Node_2,2026-05-21 08:10:13,45,83.29,0.053,-63.6,9.2,normal,-0.1497,False,
Node_3,2026-05-21 08:10:13,22,89.32,0.055,-50.8,19.0,normal,-0.1613,False,
Node_4,2026-05-21 08:10:13,44,91.59,0.017,-47.7,5.3,normal,-0.0837,False,
Node_5,2026-05-21 08:10:13,22,8.75,0.091,-66.7,28.5,energy_drop,-0.0759,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_6,2026-05-21 08:10:13,5,20.34,0.674,-62.7,414.3,node_failure,0.0494,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_7,2026-05-21 08:10:13,33,70.49,0.024,-60.8,21.1,node_silence,-0.192,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_8,2026-05-21 08:10:13,21,81.71,0.033,-51.0,10.6,normal,-0.18,False,
Node_9,2026-05-21 08:10:13,8,71.21,0.181,-76.8,224.0,packet_loss,0.0304,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_10,2026-05-21 08:10:13,29,95.25,0.039,-62.4,17.6,normal,-0.1386,False,
Node_10,2026-05-21 08:10:33,28,95.08,0.042,-58.7,13.9,normal,-0.1393,False,
Node_9,2026-05-21 08:10:33,20,71.01,0.041,-60.8,23.9,normal,-0.1849,False,
Node_8,2026-05-21 08:10:33,16,81.52,0.061,-52.8,18.5,normal,-0.1635,False,
Node_7,2026-05-21 08:10:33,42,70.31,0.05,-63.7,17.8,normal,-0.1798,False,
Node_6,2026-05-21 08:10:33,44,70.3,0.011,-64.3,9.8,normal,-0.1467,False,
Node_3,2026-05-21 08:10:33,25,89.12,0.014,-57.3,6.1,normal,-0.1242,False,
Node_4,2026-05-21 08:10:33,34,91.36,0.055,-50.6,14.3,normal,-0.1477,False,
Node_2,2026-05-21 08:10:33,23,83.08,0.512,-59.0,63.4,communication_error,-0.0236,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:10:33,42,77.66,0.036,-49.3,8.1,normal,-0.1577,False,
Node_5,2026-05-21 08:10:33,21,7.46,0.049,-52.7,19.6,energy_drop,-0.1001,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_7,2026-05-21 08:10:53,26,70.08,0.049,-62.1,26.4,node_silence,-0.1929,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_10,2026-05-21 08:10:53,44,94.94,0.049,-51.2,23.7,normal,-0.113,False,
Node_9,2026-05-21 08:10:53,26,70.81,0.018,-59.8,14.4,normal,-0.1905,False,
Node_8,2026-05-21 08:10:53,40,81.43,0.062,-64.5,19.8,normal,-0.1585,False,
Node_6,2026-05-21 08:10:53,17,70.08,0.057,-46.0,20.9,normal,-0.1598,False,
